"X","Y","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
-108.173443777778,30.0878607777778,12.0416669845581,16.4500007629395,50.9287910461426,593.214782714844,28.3999996185303,-3.90000009536743,32.2999992370605,18.533332824707,8.01666736602783,19.283332824707,4.76666641235352,377,98,3,93.4793548583984,234,17,204,48
-108.222804888889,30.0428052222222,12.3874998092651,16.9583339691162,51.0793151855469,604.904663085938,29.1000003814697,-4.09999990463257,33.2000007629395,18.966667175293,8.43333339691162,19.716667175293,4.90000009536743,370,96,3,92.5971221923828,228,19,200,50
-108.171888222222,30.0452218888889,11.9624996185303,16.5249996185303,51.1609916687012,589.229553222656,28.2999992370605,-4,32.2999992370605,18.3999996185303,7.98333311080933,19.1333332061768,4.71666669845581,387,101,4,93.7837905883789,241,19,210,48
-108.478971555556,29.9881107777778,11.5749998092651,15.8166666030884,50.3715476989746,591.363952636719,27.5,-3.90000009536743,31.3999996185303,18.1666660308838,10.6499996185303,18.7999992370605,4.33333349227905,484,119,7,85.1463775634766,277,25,248,86
-108.428443777778,29.9877774444444,12.2749996185303,16.6166667938232,50.5065841674805,610.631164550781,28.8999996185303,-4,32.9000015258789,19,11.4833335876465,19.7333335876465,4.76666641235352,502,118,9,81.2824096679688,278,30,249,97
-108.272527111111,29.9963607777778,11.9958333969116,16.6749992370605,50.6838912963867,605.465454101562,28.6000003814697,-4.30000019073486,32.9000015258789,18.6166667938232,8,19.3500003814697,4.51666641235352,387,100,4,91.5206680297852,236,20,208,54
-108.528527111111,29.940833,12.4291667938232,15.8583326339722,50.9914245605469,579.194030761719,28.2999992370605,-2.79999995231628,31.0999984741211,18.8666667938232,11.4499998092651,19.5,5.34999990463257,595,135,9,77.9572830200195,316,39,285,128
-108.477249333333,29.943333,11.0791664123535,15.6416664123535,51.1165580749512,571.980041503906,26.6000003814697,-4,30.6000003814697,17.533332824707,9.96666622161865,18.0833339691162,4.15000009536743,520,129,9,85.4241943359375,299,29,268,89
-108.425554888889,29.9452774444444,11.7375001907349,16.341667175293,51.0677108764648,593.985473632812,27.8999996185303,-4.09999990463257,32,18.3666667938232,10.8166666030884,19,4.48333311080933,474,117,7,85.6790466308594,273,25,245,83
-108.373610444444,29.9471941111111,11.5749998092651,16.3666667938232,51.1458358764648,588.242736816406,27.7999992370605,-4.19999980926514,32,18.1000003814697,10.6666669845581,18.75,4.38333320617676,420,108,4,89.7605590820312,251,21,224,62
-108.321943777778,29.949333,11.3333330154419,16.2999992370605,51.0971794128418,589.045227050781,27.5,-4.40000009536743,31.8999996185303,17.8666667938232,7.26666641235352,18.5166664123535,4.13333320617676,401,105,3,92.9241943359375,246,18,218,54
-108.166943777778,29.9552777777778,11.2124996185303,16.1416664123535,51.5708198547363,572.085998535156,27.1000003814697,-4.19999980926514,31.2999992370605,17.5499992370605,7.18333339691162,18.2000007629395,4.25,471,120,7,90.9658889770508,287,27,250,64
-108.474610444444,29.8986385555556,11.7875003814697,16.0416660308838,51.2513313293457,576.892639160156,27.6000003814697,-3.70000004768372,31.3000011444092,18.25,10.7666664123535,18.8166656494141,4.75,539,130,10,83.1715850830078,303,32,273,101
-108.423054888889,29.9002777777778,11.3000001907349,16.2666664123535,51.4767913818359,584.216674804688,27.2000007629395,-4.40000009536743,31.6000003814697,17.8500003814697,10.3500003814697,18.4333343505859,4.16666698455811,487,123,7,87.8299407958984,286,26,256,80
-108.319360444444,29.9038055555556,10.6708335876465,16.1416664123535,51.5708198547363,575.710876464844,26.5,-4.80000019073486,31.2999992370605,17.1000003814697,9.71666622161865,17.7000007629395,3.65000009536743,513,130,9,88.5796356201172,305,30,270,77
-108.268110444444,29.9063611111111,10.7666664123535,16.7000007629395,51.7027854919434,587.681640625,27.1000003814697,-5.19999980926514,32.2999992370605,17.2666664123535,9.94999980926514,17.9166660308838,3.54999995231628,487,124,8,89.9239654541016,293,28,259,70
-108.215916666667,29.90825,10.3249998092651,15.8333330154419,51.2405586242676,570.547973632812,26,-4.90000009536743,30.8999996185303,16.6999988555908,9.33333301544189,17.3166656494141,3.41666650772095,532,135,9,90.0875091552734,321,32,282,76
-108.472360444444,29.8536666666667,11.8208332061768,16.1916675567627,51.4021148681641,578.876098632812,27.7000007629395,-3.79999995231628,31.5,18.283332824707,10.8500003814697,18.8666667938232,4.73333358764648,577,137,10,81.7735214233398,320,36,289,111
-108.317943777778,29.859,10.6541662216187,16.5083332061768,51.9129981994629,578.597290039062,26.7000007629395,-5.09999990463257,31.8000011444092,17.1166667938232,9.75,17.7000007629395,3.56666684150696,531,134,9,88.4185028076172,315,31,280,82
-108.418610444444,29.8102777777778,11.533332824707,16.3166656494141,52.1299247741699,568.803894042969,27.2999992370605,-4,31.2999992370605,17.9166660308838,10.5166664123535,18.466667175293,4.59999990463257,571,140,11,85.0863037109375,327,35,295,100
-108.367193777778,29.8122222222222,11.0541667938232,16.2916660308838,52.0500564575195,572.051574707031,26.7999992370605,-4.5,31.2999992370605,17.5,10.0166664123535,18.0166664123535,4.08333349227905,558,139,10,87.1149826049805,326,33,293,91
-108.777971555556,29.7504444444444,12.3000001907349,15.8333330154419,52.6024360656738,546.205932617188,27.6000003814697,-2.5,30.1000003814697,18.466667175293,11.1000003814697,18.9833335876465,5.73333311080933,818,181,10,75.6514892578125,418,59,383,188
-108.725471555556,29.7536111111111,11.6083335876465,15.5999994277954,51.8272438049316,550.577514648438,26.8999996185303,-3.20000004768372,30.1000003814697,17.7999992370605,10.5,18.3333320617676,4.94999980926514,767,177,11,78.6554489135742,408,52,372,161
-108.674166,29.755,11.5416669845581,15.3999996185303,51.3333320617676,557.624145507812,26.7999992370605,-3.20000004768372,30,17.8166656494141,10.4333333969116,18.3500003814697,4.78333330154419,744,172,11,78.8700256347656,397,50,362,155
-108.467777111111,29.7630555555556,12.6166667938232,16.2333335876465,51.3713073730469,580.353881835938,28.6000003814697,-3,31.6000003814697,19.0499992370605,11.6999998092651,19.6833343505859,5.51666688919067,667,152,9,79.4249649047852,357,45,325,142
-108.364444444444,29.7672215555556,11.2708330154419,16.4583339691162,52.2486763000488,572.2978515625,27.1000003814697,-4.40000009536743,31.5,17.7000007629395,10.2666664123535,18.2000007629395,4.28333330154419,592,146,11,86.0783538818359,343,38,309,99
-108.312722222222,29.7688882222222,11.0416669845581,16.466667175293,52.1097068786621,577.702453613281,26.8999996185303,-4.69999980926514,31.5999984741211,17.5499992370605,10.0500001907349,18.0666675567627,3.98333334922791,588,145,11,86.5584411621094,344,38,307,96
-108.261361111111,29.7711104444444,10.8541669845581,16.2749996185303,51.8312110900879,577.193298339844,26.7000007629395,-4.69999980926514,31.4000015258789,17.3500003814697,9.86666679382324,17.8833332061768,3.81666684150696,585,145,11,87.2132110595703,345,39,306,91
-108.209694444444,29.7730548888889,10.8583335876465,16.0499992370605,51.6077156066895,573.033508300781,26.6000003814697,-4.5,31.1000003814697,17.2999992370605,9.86666679382324,17.8500003814697,3.88333320617676,574,144,10,88.8018569946289,343,38,303,86
-108.671943777778,29.7097222222222,12.5625,15.9916667938232,52.4316940307617,552.7333984375,28,-2.5,30.5,18.783332824707,11.4166669845581,19.3166656494141,5.88333320617676,827,178,10,74.3053588867188,415,62,380,196
-108.568610444444,29.7138888888889,12.9583330154419,16.1000003814697,51.1111106872559,583.982543945312,28.8999996185303,-2.59999990463257,31.5,19.4500007629395,12.0499992370605,20.0833339691162,5.81666660308838,768,167,9,76.3474960327148,393,56,359,182
-108.517610444444,29.7158611111111,13.0166664123535,16.3000011444092,51.2578620910645,587.263793945312,29.1000003814697,-2.70000004768372,31.8000011444092,19.533332824707,12.1333332061768,20.1666660308838,5.81666660308838,727,161,9,77.5931930541992,378,51,346,166
-108.465555555556,29.7180548888889,11.1458330154419,15.8916664123535,52.1038246154785,554.881042480469,26.6000003814697,-3.90000009536743,30.5,17.3999996185303,10.033332824707,17.9166660308838,4.44999980926514,666,163,12,84.2978668212891,378,44,343,118
-108.413888888889,29.7200271111111,11.8000001907349,16.3666667938232,51.9576721191406,573.521789550781,27.7000007629395,-3.79999995231628,31.5,18.2000007629395,10.8333330154419,18.7666664123535,4.80000019073486,646,155,11,83.7348556518555,364,43,331,118
-108.310555555556,29.724166,11.6416664123535,16.9500007629395,52.6397552490234,579.862182617188,27.7999992370605,-4.40000009536743,32.2000007629395,18.1166667938232,10.7333335876465,18.6499996185303,4.5,623,151,11,85.7350082397461,360,43,325,106
-108.155472222222,29.7296937777778,11.2958335876465,16.341667175293,52.0435218811035,570.137390136719,27.2000007629395,-4.19999980926514,31.4000015258789,17.6499996185303,10.3499994277954,18.25,4.36666679382324,587,146,11,88.4380645751953,351,40,308,88
-108.104638888889,29.7319437777778,11.8500003814697,16.3666667938232,51.9576721191406,569.648986816406,27.8999996185303,-3.59999990463257,31.5,18.1499996185303,10.9499998092651,18.783332824707,4.91666650772095,564,141,11,89.5679168701172,341,40,297,83
-108.0525,29.7338885555556,12.3874998092651,16.5750007629395,51.796875,574.041198730469,28.7000007629395,-3.29999995231628,32,18.6666660308838,11.5666666030884,19.3666667938232,5.38333320617676,515,130,10,91.774787902832,317,35,275,73
-108.617777111111,29.6669437777778,12.2624998092651,15.9583330154419,53.0177192687988,541.463195800781,27.5,-2.59999990463257,30.1000003814697,18.3999996185303,11.0333337783813,18.8833332061768,5.76666641235352,777,178,11,78.2322998046875,411,56,377,165
-108.566277777778,29.6693326666667,12.1541662216187,16.091667175293,52.2456703186035,562.084045410156,27.7000007629395,-3.09999990463257,30.8000011444092,18.5,11.0833330154419,19,5.33333349227905,753,173,10,79.2601470947266,402,53,369,158
-108.515166666667,29.6709437777778,12.625,16.3666667938232,51.7932472229004,580.276184082031,28.6000003814697,-3,31.6000003814697,19.0833320617676,11.6833333969116,19.6833324432373,5.53333330154419,738,166,10,78.1532287597656,388,53,356,163
-108.463027777778,29.6729993333333,11.3333330154419,16.4500007629395,52.555908203125,565.007385253906,27.1000003814697,-4.19999980926514,31.2999992370605,17.6666660308838,10.3166666030884,18.2000007629395,4.45000028610229,699,168,11,83.0616912841797,390,47,357,129
-108.360027777778,29.6769715555556,11.5,16.8333339691162,52.4402885437012,580.387817382812,27.6000003814697,-4.5,32.0999984741211,17.9833335876465,10.5833330154419,18.533332824707,4.38333320617676,665,162,11,85.4044418334961,381,47,346,115
